date,open,high,low,close,volume
2023-11-16,1774.0000,1776.0000,1760.0500,1760.0500,1255757
2023-11-17,1752.0000,1759.0000,1737.9000,1753.4200,2171363
2023-11-20,1755.0000,1769.5000,1736.6600,1762.5000,1860804
2023-11-21,1783.4200,1798.0000,1770.1000,1790.0000,3009845
2023-11-22,1783.3000,1794.3500,1780.5400,1781.5100,1266457
2023-11-23,1778.3000,1788.0000,1771.0000,1786.0000,1154964
2023-11-24,1789.0000,1789.0000,1775.0000,1777.0000,1308540
2023-11-27,1773.3000,1773.3000,1755.0000,1763.0000,1626074
2023-11-28,1761.0000,1773.8800,1758.0000,1769.0400,1451976
2023-11-29,1768.0000,1776.0000,1758.0000,1774.7100,1714933
2023-11-30,1776.7200,1794.7600,1771.0800,1791.5000,2135342
2023-12-01,1789.3101,1789.7000,1748.0000,1760.2800,3305131
2023-12-04,1760.2800,1761.8300,1745.2800,1750.7100,1844047
2023-12-05,1748.7800,1748.8800,1708.0200,1709.0000,2990301
2023-12-06,1702.6300,1719.4700,1701.1300,1703.0000,2385129
2023-12-07,1704.0000,1709.0800,1687.3000,1700.0000,2504150
2023-12-08,1700.0000,1708.8400,1692.2200,1704.9200,2628801
2023-12-11,1690.0000,1704.0000,1657.0000,1698.0000,3683098
2023-12-12,1687.6000,1709.9900,1684.0000,1709.9900,2101066
2023-12-13,1705.2200,1705.7200,1657.0800,1660.0000,3878870
2023-12-14,1665.9600,1669.8700,1635.0200,1635.9000,4067215
2023-12-15,1648.2300,1677.7700,1644.0100,1645.0000,3709251
2023-12-18,1640.0000,1663.3300,1635.0000,1662.0000,1989734
2023-12-19,1665.0000,1679.8700,1645.0900,1675.0000,2220676
2023-12-20,1658.0000,1660.0000,1643.0000,1649.7900,2309203
2023-12-21,1640.0100,1672.3199,1640.0100,1670.0000,2901168
2023-12-22,1669.7000,1679.1000,1658.0100,1670.6500,2166684
2023-12-25,1671.0000,1678.6000,1668.0000,1672.0000,1247106
2023-12-26,1672.5000,1674.9000,1657.5000,1670.0000,1477126
2023-12-27,1668.0000,1677.1500,1661.0000,1667.0601,1605550
2023-12-28,1670.9900,1727.9900,1667.0601,1724.9900,3833806
2023-12-29,1720.0000,1749.5800,1720.0000,1726.0000,2753868
2024-01-02,1715.0000,1718.1899,1678.1000,1685.0100,3215644
2024-01-03,1681.1100,1695.2200,1676.3300,1694.0000,2022929
2024-01-04,1693.0000,1693.0000,1662.9301,1669.0000,2155107
2024-01-05,1661.3300,1678.6600,1652.1100,1663.3600,2024286
2024-01-08,1661.0000,1662.0000,1640.0100,1643.9900,2558620
2024-01-09,1641.0100,1652.3199,1635.0699,1641.0000,2441204
2024-01-10,1641.1000,1659.4600,1638.0000,1641.5000,1735067
2024-01-11,1640.1000,1657.9399,1638.0601,1646.5699,1644055
2024-01-12,1639.9700,1651.2600,1639.4000,1643.0601,1160324
2024-01-15,1635.0000,1654.9700,1634.4500,1640.0000,1785403
2024-01-16,1638.5000,1647.0000,1624.9399,1639.4301,2590314
2024-01-17,1630.0000,1635.4800,1577.0000,1577.0000,5163276
2024-01-18,1574.0000,1612.8000,1555.5500,1610.8700,6043981
2024-01-19,1608.8700,1638.0100,1600.8800,1635.0000,4637843
2024-01-22,1629.0000,1643.0000,1618.8800,1642.0000,4694589
2024-01-23,1632.0100,1639.9500,1609.0000,1619.0000,3483490
2024-01-24,1629.0000,1633.8400,1603.5601,1626.0000,3321635
2024-01-25,1626.8199,1641.0000,1622.0000,1638.0000,3120580
2024-01-26,1630.3600,1644.1000,1623.0000,1637.3199,2695475
2024-01-29,1640.3000,1660.5800,1640.2900,1650.0000,3142068
2024-01-30,1649.9800,1649.9800,1610.0000,1613.0000,3086633
2024-01-31,1613.0000,1619.9700,1598.1300,1604.9100,2964912
2024-02-01,1605.5000,1623.8900,1601.0000,1610.0300,2648515
2024-02-02,1615.0000,1627.7800,1581.0000,1596.0000,3938202
2024-02-05,1596.0000,1637.4399,1595.2500,1630.0100,5313036
2024-02-06,1630.0100,1685.4800,1626.1000,1676.0000,5247204
2024-02-07,1681.0300,1714.5900,1661.6100,1710.9900,5260107
2024-02-08,1720.0100,1725.0000,1685.0000,1706.0000,4675654
2024-02-19,1737.8700,1737.9301,1688.0000,1695.4301,3697744
2024-02-20,1697.3600,1697.3600,1656.5601,1670.0000,3447007
2024-02-21,1666.0200,1731.0000,1662.0000,1717.6600,4615407
2024-02-22,1707.5000,1723.0100,1700.5300,1718.3800,2279361
2024-02-23,1711.1100,1724.3800,1700.0200,1714.0900,2730589
2024-02-26,1708.0000,1708.7400,1685.0200,1694.9800,2731832
2024-02-27,1683.0000,1692.9200,1678.0000,1689.5000,2207985
2024-02-28,1688.9200,1696.5699,1674.0100,1681.5500,3186731
2024-02-29,1681.5500,1696.5000,1679.2000,1695.0000,2475833
2024-03-01,1690.0000,1694.9700,1676.6801,1685.0601,2686796
2024-03-04,1679.0000,1680.9900,1670.0500,1676.3000,2648477
2024-03-05,1670.8101,1697.0000,1666.6801,1695.1000,3623837
2024-03-06,1691.0000,1695.0000,1678.0200,1680.5500,2214248
2024-03-07,1680.0000,1689.8000,1678.0000,1683.6300,2159912
2024-03-08,1680.5601,1686.6801,1670.0500,1671.4301,2215623
2024-03-11,1675.0000,1698.8800,1673.1801,1694.4900,2989509
2024-03-12,1693.9399,1749.1000,1690.5000,1745.0000,5422654
2024-03-13,1739.9700,1748.0000,1720.1000,1727.4500,2649954
2024-03-14,1719.0000,1734.8400,1711.5000,1716.6300,1940479
2024-03-15,1712.5000,1732.4000,1712.0000,1717.4900,1783358
2024-03-18,1715.0000,1719.8500,1699.0000,1708.2600,2605501
2024-03-19,1703.0000,1719.9399,1693.1100,1708.0200,2394753
2024-03-20,1703.3600,1713.6801,1700.2300,1709.6000,1524925
2024-03-21,1708.1000,1719.0000,1704.5000,1709.0000,1659597
2024-03-22,1705.0300,1708.9900,1688.0000,1701.3500,2545614
2024-03-25,1698.5400,1698.7700,1680.5800,1689.0100,2447285
2024-03-26,1687.4600,1712.8000,1687.4600,1709.2900,2806907
2024-03-27,1705.0000,1712.0000,1699.0000,1701.0000,1811258
2024-03-28,1695.0000,1718.0000,1693.2000,1701.6400,2464218
2024-03-29,1701.6400,1710.9900,1698.6400,1702.9000,751980
2024-04-01,1709.9900,1734.0000,1708.7000,1721.3300,2713137
2024-04-02,1722.0000,1724.9900,1705.0500,1713.9900,2544925
2024-04-03,1734.0000,1739.4399,1710.0200,1715.1100,2904580
2024-04-08,1695.0000,1696.0000,1662.6000,1666.6600,5916659
2024-04-09,1660.6700,1673.0000,1658.4500,1662.2200,2558982
2024-04-10,1662.2700,1664.9900,1645.0000,1647.9800,2763050
2024-04-11,1640.1100,1650.0000,1634.6899,1648.0000,2276624
2024-04-12,1651.0000,1664.0000,1634.0300,1634.0300,2674433
2024-04-15,1635.0100,1675.6100,1634.9800,1672.9800,3581771
2024-04-16,1665.4900,1679.5601,1659.0000,1670.0000,2626623
2024-04-17,1668.0000,1675.2000,1658.0000,1667.0000,2481911
2024-04-18,1659.0100,1682.9800,1658.1801,1670.7800,2656841
2024-04-19,1660.7800,1668.5000,1641.2800,1646.6400,2349992
2024-04-22,1654.0000,1678.8800,1645.0000,1675.0601,2995139
2024-04-23,1675.0000,1695.0000,1675.0000,1692.2800,2497995
2024-04-24,1696.9800,1699.9100,1683.3300,1693.6000,1708643
2024-04-25,1690.3300,1695.6000,1682.2500,1693.0400,1447648
2024-04-26,1694.0000,1714.0000,1693.9800,1709.4301,3099592
2024-04-29,1696.9500,1728.0000,1693.8199,1704.0000,4133223
2024-04-30,1705.0100,1729.8800,1705.0000,1705.0000,3075989
2024-05-06,1733.9700,1765.0000,1727.0000,1760.2000,5990949
2024-05-07,1765.7900,1777.8000,1756.6801,1770.0000,2492452
2024-05-08,1769.6899,1769.9700,1755.6700,1763.9700,1476909
2024-05-09,1758.0000,1764.9800,1750.0000,1756.0000,2238734
2024-05-10,1761.1000,1767.8800,1733.9900,1738.9800,2620661
2024-05-13,1732.0200,1732.6600,1701.2200,1706.0000,3766212
